passenger_id,dni,name,age,country
1, 348373603, Leticia, 65, Chile
2, 7988462, Ana, 72, México
3, 492894946, Amalia, 40, Perú
4, 236316467, Julio, 6, Chile
5, 527775223, Sonia, 80, Chile
6, 645466698, Diego, 21, Perú
7, 174853408, Estefanía, 80, Perú
8, 678380547, Oscar, 61, Perú
9, 167549110, Joaquín, 2, México
10, 643238510, Gustavo, 61, México
11, 967142004, Víctor, 73, Chile
12, 427038390, Christopher, 30, México
13, 374760700, Abril, 37, Perú
14, 563296634, Mateo, 27, Chile
15, 423445297, Laura, 74, Chile
16, 200905642, Nilda, 26, México
17, 809158891, René, 24, Chile
18, 253908833, José, 5, México
19, 436436409, Osvaldo, 28, México
20, 917532039, Ignacio, 78, Perú
21, 737112168, Andrea, 70, Perú
22, 313353817, Natalia, 4, Chile
23, 207053321, Daniella, 25, Chile
24, 481457272, Ana, 71, México
25, 863717797, Giselle, 52, Perú
26, 773764019, Antonia, 40, México
27, 926578568, Miguel, 5, México
28, 730560738, Javier, 56, México
29, 896046032, Diego, 49, Perú
30, 272872273, Celeste, 23, México
31, 343424165, Constanza, 27, México
32, 420965877, Amalia, 22, México
33, 143956247, Valentina, 54, Chile
34, 566062700, Gustavo, 11, México
35, 934735291, Consuelo, 31, Chile
36, 188967263, Lorena, 31, Chile
37, 641319464, Lucía, 28, Perú
38, 107965454, Luciana, 39, Perú
39, 979716489, Lucero, 70, México
40, 539399181, Samuel, 12, Chile
41, 968406193, Francisco, 53, Perú
42, 576330342, Christopher, 53, Perú
43, 444770924, Gabriel, 56, Chile
44, 268097386, Nélida, 76, Chile
45, 647635275, Marisol, 73, Chile
46, 720388762, Raúl, 70, Perú
47, 486792146, Ana, 64, México
48, 262424652, Antonia, 15, México
49, 210747500, Bruno, 37, Chile
50, 385050488, Roberto, 72, Chile
51, 679445242, Aldo, 69, México
52, 547818293, Leticia, 25, Perú
53, 248898785, Jorge, 46, México
54, 390759551, Arturo, 23, México
55, 152914379, Maritza, 69, Chile
56, 175958851, Graciela, 48, Perú
57, 689943623, Marjorie, 9, Perú
58, 16698286, Nicolás, 35, Perú
59, 962913276, Delia, 18, México
60, 680619409, Sofía, 28, México
61, 66386260, Olga, 32, Chile
62, 133177153, Vanessa, 31, Perú
63, 850187729, José, 72, México
64, 65331141, Susana, 10, Perú
65, 225839493, Monserrat, 71, Chile
66, 897674576, Marisol, 47, Chile
67, 777278671, Francisco, 30, Perú
68, 557932725, Tomás, 7, Perú
69, 746976269, Julio, 77, Perú
70, 938352615, Arturo, 34, Perú
71, 760744755, Nicolás, 32, Chile
72, 811487353, Marisol, 47, Chile
73, 874904884, Oliver, 69, Chile
74, 734821209, Ana, 36, México
75, 926376486, Antonio, 29, Perú
76, 645869777, Consuelo, 53, Perú
77, 561461878, Fermín, 27, Perú
78, 181426937, Julio, 48, México
79, 661517153, Marco, 18, Perú
80, 954731403, Nicolás, 33, Perú
81, 717995319, Micaela, 39, Perú
82, 702149417, Julio, 60, Chile
83, 257898025, Francisco, 34, Chile
84, 945931060, Mariana, 38, Perú
85, 589000509, Lucas, 33, Perú
86, 494551918, Marcos, 25, Chile
87, 177209759, Lorena, 74, México
88, 117827891, Raquel, 21, México
89, 24785979, Patricio, 41, Perú
90, 983834822, Marisol, 44, México
91, 466866813, Lucila, 19, México
92, 206706094, Fabiola, 26, Perú
93, 642182998, Isidora, 76, Chile
94, 978856785, Rafaela, 73, México
95, 715292935, Renata, 56, Chile
96, 298387004, Juan, 69, Chile
97, 602810040, Celeste, 64, Perú
98, 172426876, Abril, 28, Chile
99, 520425741, Yolanda, 19, Chile
100, 322326638, Maritza, 51, Chile
101, 217082303, Guillermo, 73, Perú
102, 786081285, Luz, 43, Chile
103, 667007280, Dante, 45, Chile
104, 501509835, Sergio, 57, Perú
105, 560528635, Tomás, 36, Perú
106, 13116070, Dante, 44, Perú
107, 446027459, Vanessa, 66, Chile
108, 391869305, Enzo, 38, México
109, 348128106, Octavio, 35, Chile
110, 261133065, Daniel, 20, Perú
111, 130069304, Romina, 50, México
112, 775203905, Guillermo, 79, Perú
113, 802367967, Marco, 48, Chile
114, 577597935, Melisa, 49, México
115, 887066881, Rosa, 40, México
116, 990806557, Oliver, 24, Perú
117, 931328840, Alejandro, 45, Chile
118, 547995929, Demetrio, 77, Chile
119, 642943844, Abril, 38, Perú
120, 379829811, José, 54, México
121, 176002133, Raúl, 80, Chile
122, 520943813, Karen, 34, Perú
123, 895770182, Alejandra, 54, Chile
124, 80430135, Aldo, 29, México
125, 876498664, Daniella, 21, Perú
126, 438091902, Edith, 29, Chile
127, 68096783, Ernesto, 26, Chile
128, 202105372, Carmen, 77, Perú
129, 488886910, Yolanda, 31, México
130, 580928099, Rafaela, 62, Chile
131, 107826693, Patricio, 23, México
132, 174527288, Pamela, 28, Perú
133, 61627287, Oscar, 22, Chile
134, 50097163, Leonardo, 47, Perú
135, 386386320, Francisco, 79, México
136, 634274174, Abril, 80, Chile
137, 41315274, Marlene, 41, México
138, 797841701, Lucero, 46, Perú
139, 714247267, Giselle, 55, Chile
140, 95167236, Consuelo, 23, México
141, 301975615, Miriam, 71, Perú
142, 617682991, Renata, 35, Perú
143, 506091067, Sofía, 38, Perú
144, 372916627, Maximiliana, 39, Chile
145, 814415768, Julio, 68, Perú
146, 447555986, Carmen, 54, Perú
147, 544533967, Fabiola, 72, Perú
148, 66250246, Mauricio, 27, Chile
149, 553962841, Gustavo, 55, Chile
150, 603552964, Ernesto, 37, Perú
151, 495092114, Óscar, 61, Perú
152, 968801352, Francisco, 51, Chile
153, 426259149, Dante, 21, México
154, 37459658, Rocío, 65, Perú
155, 776418510, Monserrat, 31, Chile
156, 957682604, Edith, 26, Chile
157, 389921563, Raquel, 60, México
158, 897875792, Maritza, 37, Perú
159, 573835727, Juan, 27, Chile
160, 548658569, Luciana, 33, Perú
161, 97568069, Isabella, 48, Perú
162, 924509499, Marisela, 47, México
163, 415938312, Germán, 53, Chile
164, 749627077, Pablo, 24, Chile
165, 988073823, Sonia, 61, México
166, 320263742, Marina, 35, México
167, 52491755, Ana, 53, Perú
168, 340427580, Ramiro, 55, México
169, 76817167, Aldo, 46, Perú
170, 618782665, Luz, 68, Perú
171, 395678454, Fabiana, 80, México
172, 159979144, Beatriz, 61, Perú
173, 861800520, Adrián, 64, México
174, 539097903, Lucía, 35, Perú
175, 571223758, Luz, 45, México
176, 741955651, Gustavo, 64, Perú
177, 346673941, Raúl, 64, México
178, 989005585, Dante, 53, Perú
179, 875921856, José, 65, Chile
180, 296039996, Armando, 31, Perú
181, 245413729, Gustavo, 76, Chile
182, 574679338, Alexis, 44, México
183, 776268924, Leticia, 57, México
184, 725878136, César, 61, Chile
185, 791208582, Jorge, 32, Perú
186, 679509529, Diego, 28, México
187, 378728209, Fernanda, 53, México
188, 944668859, Enrique, 18, Chile
189, 328645495, Arturo, 43, México
190, 310703456, Camila, 57, Perú
191, 702350489, Natalia, 71, México
192, 412082503, Fanny, 53, Perú
193, 879025746, Carolina, 40, México
194, 317337393, José, 42, México
195, 674980606, Pamela, 59, México
196, 861793918, Brenda, 28, México
197, 864794531, Celeste, 63, Perú
198, 130543670, Gabriela, 78, Perú
199, 254968572, Andrés, 71, México
200, 83922601, Osvaldo, 42, Perú
201, 341487852, Javier, 48, Perú
202, 986516830, José, 34, Perú
203, 705623099, Camila, 26, Perú
204, 81112989, Ivonne, 33, Perú
205, 843598221, Marco, 70, México
206, 84138219, María, 66, Chile
207, 503579123, Alexis, 30, Chile
208, 302129704, Patricio, 80, Chile
209, 443001667, Edith, 36, Chile
210, 730564380, Marisol, 66, Perú
211, 110380120, Alexis, 67, Chile
212, 583354512, Hernán, 37, México
213, 112817761, Fernanda, 19, México
214, 531664944, Andrés, 36, Perú
215, 162972597, Carolina, 35, Perú
216, 92578116, Fabiola, 36, México
217, 744486252, Julio, 56, México
218, 638377282, Nicolás, 68, México
219, 129435090, Osvaldo, 53, México
220, 238595418, Victoria, 22, Perú
221, 210840059, Melisa, 49, Chile
222, 967472782, Rolando, 37, Perú
223, 524798644, Mariana, 19, Perú
224, 969879862, Demetrio, 66, México
225, 871005632, Fernanda, 68, México
226, 103121246, Rafael, 46, Perú
227, 733954685, Enzo, 68, Chile
228, 698485047, Sergio, 57, México
229, 372158138, Elías, 49, Perú
230, 132353297, Paloma, 19, México
231, 772281710, Francisco, 64, Perú
232, 490045946, Diego, 57, Perú
233, 619564268, Ana, 31, Chile
234, 149986771, Sofía, 18, Chile
235, 458277718, Mariana, 42, Chile
236, 381304292, Mónica, 42, Chile
237, 964106703, Ana, 41, México
238, 246849647, Raúl, 52, Perú
239, 606165008, Gustavo, 50, Perú
240, 911284305, José, 80, México
241, 365837807, Rafaela, 20, Perú
242, 147481460, Rodrigo, 56, Chile
243, 519389578, Armando, 69, México
244, 530414848, Diego, 78, Chile
245, 662360523, Renato, 23, Perú
246, 330024935, Pamela, 69, Perú
247, 940964628, Lucila, 29, México
248, 583176284, Mireya, 22, Perú
249, 171848208, Daniella, 33, Chile
250, 883943823, Raquel, 65, Chile
251, 560763702, Graciela, 27, Chile
252, 198479458, Ernestina, 66, Perú
253, 399663290, Juan, 72, Chile
254, 319163181, Ingrid, 71, Perú
255, 172583769, Luz, 72, Perú
256, 140991944, Fermín, 64, México
257, 778169448, Raúl, 56, Chile
258, 46361394, Francisco, 60, Chile
259, 555752690, Ana, 55, Chile
260, 138149105, Rodrigo, 32, México
261, 623170998, Wilfredo, 58, Chile
262, 805071296, Esteban, 23, Perú
263, 359203627, Jorge, 27, Perú
264, 910179851, Óscar, 46, Perú
265, 799034166, Renato, 29, México
266, 965657451, Demetrio, 63, México
267, 135922685, Maritza, 65, México
268, 90386675, Esteban, 42, Chile
269, 104934714, Fanny, 36, Perú
270, 387014076, Gustavo, 35, Perú
271, 193878941, Francisco, 73, Perú
272, 649356960, Guillermo, 73, México
273, 838957319, Germán, 27, Perú
274, 609434920, Alfonso, 69, México
275, 392654999, Ana, 35, México
276, 533103177, Isabella, 25, Chile
277, 883357045, Juan, 23, Chile
278, 556906431, Rodrigo, 76, Perú
279, 765526615, José, 59, México
280, 72742412, Marisela, 65, Chile
281, 806050656, Angelina, 69, México
282, 262340335, Lorena, 34, Chile
283, 968950537, Marisol, 34, Perú
